Item: Aluminium cans, Qty: 1, Reward: 10 pts, Time: 2025-07-22 15:27:56.100875200, Status: Approved
SubmissionID: 31, Item: Aluminium cans, Qty: 1, Reward: 10 pts, Time: 2025-07-22 15:27:56.100875200, Status: Approved
SubmissionID: 32, Item: Aluminium cans, Qty: 5, Reward: 100 pts, Time: 2025-07-22 15:44:51, Status: Approved
SubmissionID: 33, Item: Paper, Qty: 9, Reward: 200 pts, Time: 2025-07-22 16:00:26, Status: Approved
SubmissionID: 34, Item: Paper, Qty: 24, Reward: 500 pts, Time: 2025-07-22 16:02:41, Status: Approved
SubmissionID: 38, Item: Paper, Qty: 10, Reward: 1000 pts, Time: 2025-07-22 20:13:52, Status: Approved
SubmissionID: 39, Item: Aluminium cans, Qty: 10, Reward: 200 pts, Time: 2025-07-22 20:26:54, Status: Approved
SubmissionID: 40, Item: Paper, Qty: 3, Reward: 5 pts, Time: 2025-07-22 20:32:57, Status: Approved
SubmissionID: 41, Item: Paper, Qty: 4, Reward: 10 pts, Time: 2025-07-22 20:35:17, Status: Approved
SubmissionID: 44, Item: Unknown, Qty: 16, Reward: 500 pts, Time: 2025-07-22 20:48:55, Status: Approved
SubmissionID: 45, Item: Unknown, Qty: 35, Reward: 50 pts, Time: 2025-07-22 20:50:09, Status: Approved
SubmissionID: 46, Item: Unknown, Qty: 11, Reward: 100 pts, Time: 2025-07-22 21:03:13, Status: Approved
SubmissionID: 47, Item: Unknown, Qty: 22, Reward: 10 pts, Time: 2025-07-22 21:08:31, Status: Approved
